...1,dhs_id,country,iso3,adm2,lat,lon,treated,log_treated_other_funder_n,log_other_sect_n,year_group,image_file_5k_3yr,iwi_est_post_oda,log_pc_nl_pre_oda,log_avg_min_to_city,log_avg_pop_dens,log_3yr_pre_conflict_deaths,log_disasters,log_ch_loan_proj_n,leader_birthplace,log_dist_km_to_gold,log_dist_km_to_gems,log_dist_km_to_dia,log_dist_km_to_petro,election_year,unsc_aligned_us,unsc_non_aligned_us,country_gini,corruption_control,gov_effectiveness,political_stability,reg_quality,rule_of_law,voice_accountability,landsat578,log_total_neighbor_projs,first_year_group,time,iwi_1990-1992,iwi_1993-1995,iwi_1996-1998,iwi_1999-2001,iwi_2002-2004,iwi_2005-2007,iwi_2008-2010,iwi_2011-2013,iwi_2014-2016,iwi_2017-2019
1,8415,democratic_republic_of_congo,COD,c63r7r29,-4.42108083444267,15.3688361598094,0,1.6094379124341,1.09861228866811,2002:2004,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00122.tif,37.924805,0.00305042589116058,3.02529107579554,9.69277957753474,0,2.48573963609189,-4.60517018598809,0,2.36732072019165,5.05225742947256,5.29336776257491,5.69398223883558,0,0,0,0.422,-1.45055828491847,-1.7900401353836,-2.45345538854599,-1.86238008737564,-1.82806281248728,-1.71207104126612,0,2.77258872223978,2002,2003,26.318359375,27.42919921875,24.715168774128,24.6490478515625,26.396483182907097,29.262694716453602,34.161376953125,38.6149078607559,40.56396484375,46.2890625
2,8437,democratic_republic_of_congo,COD,c63r7r29,-4.3681636969951,15.3718338817252,0,0,1.6094379124341,2011:2013,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00139.tif,55.95703,0.00391745991324718,2.57261223020711,9.51761499018719,1.6094379124341,-4.60517018598809,-4.60517018598809,0,2.01476597982716,5.06988373519512,5.29059276586098,5.69876637684975,0,0,0,0.422,-1.37733554840088,-1.67367796103159,-2.06693371136983,-1.44797054926555,-1.61495534578959,-1.40212659041087,1,0,2011,2012,26.318359375,27.42919921875,24.715168774128,24.6490478515625,26.396483182907097,29.262694716453602,34.161376953125,38.6149078607559,40.56396484375,46.2890625
3,27623,liberia,LBR,c127r11r47,6.23239766279545,-10.6813148114552,0,2.30258509299405,0,2008:2010,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00001.tif,34.033203,0.0031771005081221,4.31498498331819,8.25383734276957,0,1.79342474854712,0.00995033085316809,1,4.76539729214308,6.81706864086568,3.73519200977931,6.34148550289698,0,0,0,0.365,-0.800501296917598,-1.27490746974945,-1.309863169988,-1.3504166603088399,-1.03667662541071,-0.242781187097232,0,2.30258509299405,2008,2009,18.505859375,16.070556640625,15.421549975872,17.3828125,19.2065432667732,27.490234375,31.549072265625,36.0921233892441,43.83544921875,48.6328125
4,8444,democratic_republic_of_congo,COD,c63r7r29,-4.40589248485806,15.4099097980313,0,1.6094379124341,0.693147180559945,2002:2004,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00127.tif,43.740234,0.00335021221018239,3.05085157277507,9.44100285981439,0,2.48573963609189,-4.60517018598809,0,2.54938627665487,5.08102210316706,5.2713661085904,5.70896576246483,0,0,0,0.422,-1.45055828491847,-1.7900401353836,-2.45345538854599,-1.86238008737564,-1.82806281248728,-1.71207104126612,0,2.77258872223978,2002,2003,26.318359375,27.42919921875,24.715168774128,24.6490478515625,26.396483182907097,29.262694716453602,34.161376953125,38.6149078607559,40.56396484375,46.2890625
5,27610,liberia,LBR,c127r11r47,6.30279896646629,-10.8002611034711,0,0,0,2002:2004,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00011.tif,43.857422,0.0114719466410102,3.8961839413984,8.26573675246255,0,-4.60517018598809,-4.60517018598809,0,4.67153724675867,6.80745216522805,3.992227302935,6.36569197601845,0,0,0,0.365,-1.16107799609502,-1.73841861883799,-1.95944873491923,-1.71568429470062,-1.82613031069438,-1.04801427324613,0,0,2002,2003,27.44140625,33.53271484375,37.5651031732559,41.412353515625,45.1171875,48.1005847454071,52.4658203125,55.4036438465118,58.642578125,58.544921875
6,27603,liberia,LBR,c127r11r47,6.35422282819765,-10.7471358192757,0,1.38629436111989,0.693147180559945,2011:2013,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00021.tif,53.515625,0.00349992020051742,4.08966697267099,8.57827014780122,0,2.89092715918786,0.00995033085316809,1,4.63044363617014,6.80163091234203,3.90061335061953,6.35898962760246,0,0,0,0.365,-0.657679617404938,-1.23234875996907,-0.934067408243812,-1.16339190800985,-1.03482375542323,-0.186571796735128,1,1.79175946922805,2011,2012,20.81298828125,18.267822265625,21.590168774128,23.944091796875,29.794922471046398,32.470703125,35.589599609375,40.0797516107559,43.3349609375,44.53125
7,8433,democratic_republic_of_congo,COD,c63r7r29,-4.36885224302822,15.3060818779192,0,1.6094379124341,0.693147180559945,2002:2004,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00138.tif,53.2666,0.0019232467245672,2.44060639089142,10.5246495324347,0,2.48573963609189,-4.60517018598809,0,1.07583277468462,5.0307617107009,5.32428859821357,5.67614906265088,0,0,0,0.422,-1.45055828491847,-1.7900401353836,-2.45345538854599,-1.86238008737564,-1.82806281248728,-1.71207104126612,0,2.77258872223978,2002,2003,36.0107421875,33.59375,30.56640625,32.110595703125,37.7099603414536,39.74609375,43.682861328125,47.2493499517441,51.1962890625,52.05078125
8,8440,democratic_republic_of_congo,COD,c63r7r29,-4.36279836866629,15.2854459519542,0,2.30258509299405,0.693147180559945,2008:2010,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00142.tif,55.061847,0.00180907588338577,2.39059597031676,10.5905332388114,2.19722457733622,2.48573963609189,-4.60517018598809,0,1.36962562247593,5.02038129861325,5.33455323795004,5.6694450355384,0,0,0,0.422,-1.4549872080485,-1.62452828884125,-2.18459788958232,-1.37895504633585,-1.59365403652191,-1.32130348682403,0,1.6094379124341,2008,2009,43.994140625,50.4638671875,43.3919280767441,46.32568359375,49.1845697164536,50.791013240814195,48.773193359375,52.9459655284882,54.5166015625,54.833984375
9,8411,democratic_republic_of_congo,COD,c63r7r29,-4.05472714010456,15.5671699963918,0,0,0,2008:2010,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00162.tif,38.590494,0.026504030259748,5.1449719179906,6.00254575569319,2.19722457733622,2.48573963609189,-4.60517018598809,0,3.67555590647141,5.26724463932338,5.19632697179505,5.78847218965365,0,0,0,0.422,-1.4549872080485,-1.62452828884125,-2.18459788958232,-1.37895504633585,-1.59365403652191,-1.32130348682403,0,1.6094379124341,2008,2009,19.5556640625,15.75927734375,19.767253100872,21.429443359375,23.9819332957268,24.3847653269768,27.435302734375,23.091633617878,25.146484375,26.513671875
10,8413,democratic_republic_of_congo,COD,c63r7r29,-4.38500106168392,15.3321770029233,0,0,1.6094379124341,2011:2013,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00131.tif,59.08203,0.00205737539050892,2.59856596826052,10.2796915445556,1.6094379124341,-4.60517018598809,-4.60517018598809,0,1.65357430047533,5.04118511106877,5.31132654137026,5.68394734803389,0,0,0,0.422,-1.37733554840088,-1.67367796103159,-2.06693371136983,-1.44797054926555,-1.61495534578959,-1.40212659041087,1,0,2011,2012,30.6884765625,31.689453125,30.6559234857559,33.843994140625,39.0722662210464,41.7236328125,46.234130859375,50.6103515625,53.515625,54.736328125
