term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time,funder,sector
relative_time::-5,-1.0413021330911565,0.16931385807547977,-6.150129380590608,8.153170457394503e-10,-1.3732066225457291,-0.7093976436365839,-5,-1,ch,110
NA,0,NA,NA,NA,0,0,-3,0,ch,110
relative_time::0,0.4461757882330099,0.1252687588242135,3.561748295591538,3.707581030600284e-4,0.20061252533917445,0.6917390511268453,0,1,ch,110
relative_time::3,1.1708624255611628,0.19284653916513717,6.071472325248923,1.331371903685155e-9,0.7928270251974662,1.5488978259248594,3,2,ch,110
relative_time::5,2.0918613151312897,0.3133740805975379,6.675285049556599,2.649724570309173e-11,1.477556819260347,2.7061658110022324,5,3,ch,110
relative_time::-5,-0.8895318221937161,0.1459822055890105,-6.093426377582281,1.149274492699181e-9,-1.1756891028825955,-0.6033745415048366,-5,-1,ch,120
NA,0,NA,NA,NA,0,0,-3,0,ch,120
relative_time::0,0.6257315459619733,0.0990189609870392,6.319310359597457,2.748464613299717e-10,0.4316325700055337,0.819830521918413,0,1,ch,120
relative_time::3,0.913726420083894,0.13586931635705854,6.7250387694795,1.859305927502612e-11,0.647392630010511,1.180060210157277,3,2,ch,120
relative_time::5,2.287869252982828,0.17028466761527952,13.4355563834541,9.008013063446656e-41,1.9540737932472456,2.6216647127184105,5,3,ch,120
relative_time::-5,-0.7757394698230176,0.1800335618857842,-4.30886031302962,1.6917190965246665e-5,-1.1287358385136597,-0.4227431011323755,-5,-1,ch,140
NA,0,NA,NA,NA,0,0,-3,0,ch,140
relative_time::0,0.7067108074046521,0.13085416883929932,5.400751184874793,7.134587332665774e-8,0.45014172137163194,0.9632798934376724,0,1,ch,140
relative_time::3,1.385788154830785,0.4209145418292086,3.2923266295539064,0.00100470465542109,0.560490342364807,2.2110859672967633,3,2,ch,140
relative_time::5,3.3381375729262435,0.8324103750344467,4.010206591656315,6.208904231405689e-5,1.7060094487602062,4.97026569709228,5,3,ch,140
relative_time::-5,-1.5286136279919094,0.14544612858393272,-10.50982685393232,1.2504354470546075e-25,-1.8137360827102385,-1.2434911732735805,-5,-1,ch,150
NA,0,NA,NA,NA,0,0,-3,0,ch,150
relative_time::0,1.26238501601297,0.11330203084648607,11.141768656586452,1.4265601273469662e-28,1.0402756104616238,1.484494421564316,0,1,ch,150
relative_time::3,2.554375115310674,0.20754252208777368,12.307719351268076,1.9917857314844333e-34,2.1475232181015236,2.961227012519825,3,2,ch,150
relative_time::5,3.112312797644681,0.24096079876463353,12.916261954645726,1.0612026295077742e-37,2.6399500396698965,3.584675555619466,5,3,ch,150
relative_time::-5,-1.5864819142117816,0.20975063034918823,-7.563657432498016,4.618109576652951e-14,-1.99768282165816,-1.1752810067654031,-5,-1,ch,160
NA,0,NA,NA,NA,0,0,-3,0,ch,160
relative_time::0,0.9024874442893084,0.20153621445773723,4.478041064319797,7.69688444024889e-6,0.5073903037926806,1.2975845847859362,0,1,ch,160
relative_time::3,1.0486971154472224,0.3299473721053258,3.178376929495463,0.00148983949718876,0.40185920800737496,1.69553502288707,3,2,ch,160
relative_time::5,3.258018248370301,0.388487513707488,8.386416894787072,6.41071794225672e-17,2.4964166364840144,4.019619860256588,5,3,ch,160
relative_time::-5,-0.7535843642490662,0.16816491698807273,-4.481222229619481,7.557856580713043e-6,-1.0832472366370975,-0.4239214918610349,-5,-1,ch,210
NA,0,NA,NA,NA,0,0,-3,0,ch,210
relative_time::0,0.9394940270585428,0.1357129359625596,6.922656417349411,4.888547142100308e-12,0.6734485456885877,1.205539508428498,0,1,ch,210
relative_time::3,1.97495258867831,0.18770534187240767,10.521557719016757,1.1414983064943035e-25,1.6069835540393895,2.3429216233172308,3,2,ch,210
relative_time::5,2.250652381205931,0.24697051151292923,9.11304093520536,1.0684652815560833e-19,1.7665025972990522,2.73480216511281,5,3,ch,210
relative_time::-5,1.1067188993534351,0.33651904504061025,3.2887259002529237,0.00101484094989408,0.44696057265418054,1.7664772260526898,-5,-1,ch,220
NA,0,NA,NA,NA,0,0,-3,0,ch,220
relative_time::0,1.5632415889186262,0.16798926096800368,9.30560429821982,2.10509600093204e-20,1.2338922835730115,1.8925908942642409,0,1,ch,220
relative_time::3,1.7067988521732416,0.20460361348192585,8.341978047831573,9.840384068045444e-17,1.3056657226911752,2.107931981655308,3,2,ch,220
relative_time::5,1.8970732330950888,0.2471056142415843,7.677175765178703,2.0165876989436873e-14,1.4126133222144277,2.3815331439757497,5,3,ch,220
