funder,sector,event_time,relative_time,estimate,conf.low,conf.high
ch,110,-1,-5,0.28286493324563233,-0.2172713021007973,0.7830011685920619
ch,110,0,-3,0,0,0
ch,110,1,0,-0.28298384982575253,-0.7899647327584756,0.2239970331069705
ch,110,2,3,-0.2157012669902338,-1.236884615645868,0.8054820816654003
ch,110,3,5,0.00802714003190503,-1.591871290903123,1.607925570966933
ch,120,-1,-5,1.1464346583978142,0.6928480441640599,1.6000212726315686
ch,120,0,-3,0,0,0
ch,120,1,0,-0.6312155666527139,-1.0340193046888777,-0.22841182861655052
ch,120,2,3,-1.8631320828941471,-2.612522619958373,-1.1137415458299216
ch,120,3,5,-2.2652762376373383,-3.407932209063527,-1.1226202662111495
ch,140,-1,-5,-1.8002803895208972,-2.382995480964383,-1.2175652980774112
ch,140,0,-3,0,0,0
ch,140,1,0,0.9922560116143818,0.10995580394068394,1.87455621928808
ch,140,2,3,2.494862433554923,0.7408983888215037,4.248826478288343
ch,140,3,5,5.459895650696662,2.4344980194954324,8.485293281897892
ch,150,-1,-5,-0.2858086747129607,-0.6819859070296891,0.11036855760376774
ch,150,0,-3,0,0,0
ch,150,1,0,0.6583580085000111,0.2957827722938247,1.0209332447061976
ch,150,2,3,1.0791404376404734,0.3306871129359561,1.8275937623449907
ch,150,3,5,0.7420190325725847,-0.31707062047180223,1.8011086856169718
ch,160,-1,-5,-2.3354225755944897,-3.24512279144713,-1.4257223597418496
ch,160,0,-3,0,0,0
ch,160,1,0,2.040645247677291,1.2576739698897983,2.823616525464784
ch,160,2,3,3.666543603153088,2.206573278926998,5.126513927379179
ch,160,3,5,7.383704392078123,5.12355835127785,9.643850432878397
ch,210,-1,-5,-0.30604037501884235,-0.7513745291624925,0.13929377912480784
ch,210,0,-3,0,0,0
ch,210,1,0,0.6505318990974289,0.1852426105109568,1.115821187683901
ch,210,2,3,1.2777890442854758,0.4298704354457421,2.1257076531252093
ch,210,3,5,1.0442754123685312,-0.22140811876980093,2.3099589435068633
ch,220,-1,-5,1.6599350254536287,0.7009274217946126,2.6189426291126447
ch,220,0,-3,0,0,0
ch,220,1,0,1.008945044639984,0.2084316960548623,1.809458393225106
ch,220,2,3,0.7730575365948079,-0.6303896072896807,2.1765046804792965
ch,220,3,5,0.7071223386617644,-1.2392820620361338,2.6535267393596627
ch,230,-1,-5,-2.9343131250575745,-3.8577931820091287,-2.01083306810602
ch,230,0,-3,0,0,0
ch,230,1,0,2.377218225888136,1.467720946615156,3.2867155051611157
ch,230,2,3,6.093090774123279,4.2702029564162345,7.915978591830324
ch,230,3,5,7.289518108483328,4.648421986428334,9.930614230538325
ch,310,-1,-5,0.30576333059662675,-0.40225859656622687,1.0137852577594804
ch,310,0,-3,0,0,0
ch,310,1,0,0.49984096408429823,-0.15389923633544245,1.1535811645040388
