"funder","sector","strategy","covariates_used","effect_1","se_1","ci_lower_1","ci_upper_1","effect_2","se_2","ci_lower_2","ci_upper_2","effect_3","se_3","ci_lower_3","ci_upper_3","placebo","placebo_se","placebo_ci_lower","placebo_ci_upper"
"ch","110","Strategy 1: effects=3, full covariates","Full (6)",0.35574,0.18476,-0.00638,0.71786,1.44106,0.5212,0.41953,2.46259,3.09143,0.46242,2.1851,3.99777,-0.86669,0.1398,-1.14068,-0.59269
"ch","120","Strategy 1: effects=3, full covariates","Full (6)",0.663,0.08736,0.49178,0.83422,0.56339,0.13092,0.30679,0.82,2.18815,0.26318,1.67232,2.70398,-0.94311,0.12267,-1.18353,-0.70269
"ch","140","Strategy 1: effects=3, full covariates","Full (6)",0.60704,0.11336,0.38486,0.82922,0.74611,0.52693,-0.28665,1.77888,6.49896,3.36248,-0.09138,13.08929,-0.60346,0.14685,-0.89129,-0.31564
"ch","150","Strategy 1: effects=3, full covariates","Full (6)",1.4268,0.14181,1.14887,1.70474,2.46979,0.32531,1.83219,3.1074,4.96448,4.9409,-4.71952,14.64847,-1.11523,0.14749,-1.40432,-0.82615
"ch","160","Strategy 2: effects=3, no covariates","None",0.83629,0.24513,0.35585,1.31672,0.95713,0.28961,0.38952,1.52475,4.44157,0.56162,3.34081,5.54233,-2.34205,0.20066,-2.73534,-1.94876
"ch","210","Strategy 1: effects=3, full covariates","Full (6)",0.55198,0.15703,0.24421,0.85974,0.04393,0.35478,-0.65142,0.73928,-1.19703,0.78603,-2.73763,0.34356,-0.22559,0.16599,-0.55093,0.09974
"ch","220","Strategy 1: effects=3, full covariates","Full (6)",1.57634,0.14289,1.29629,1.8564,1.82335,0.20069,1.43,2.21671,2.56284,0.2721,2.02954,3.09615,-0.03064,0.24126,-0.5035,0.44222
"ch","230","Strategy 1: effects=3, full covariates","Full (6)",0.35309,0.15877,0.04191,0.66427,1.01609,0.30089,0.42636,1.60582,-0.45862,0.47006,-1.37992,0.46267,-0.15282,0.20728,-0.55908,0.25344
"ch","310","Strategy 2: effects=3, no covariates","None",1.02185,1.07983,-1.09457,3.13828,0.35986,0.25602,-0.14192,0.86165,1.84355,0.59405,0.67924,3.00786,-0.15884,0.19801,-0.54693,0.22924
"ch","430","Strategy 1: effects=3, full covariates","Full (6)",0.68193,0.17771,0.33363,1.03024,0.99361,0.36961,0.2692,1.71802,2.2619,0.32096,1.63283,2.89097,-0.54389,0.2413,-1.01683,-0.07094
"ch","700","Strategy 1: effects=3, full covariates","Full (6)",1.92944,0.25228,1.43497,2.4239,1.36532,0.51439,0.35714,2.3735,2.04957,0.72642,0.62581,3.47333,-1.23303,0.27751,-1.77694,-0.68912
"wb","110","Strategy 1: effects=3, full covariates","Full (6)",1.29226,0.14898,1.00027,1.58425,1.36778,0.39034,0.60274,2.13283,3.55861,0.28972,2.99078,4.12645,-0.70038,0.11317,-0.92218,-0.47858
"wb","120","Strategy 1: effects=3, full covariates","Full (6)",-0.13834,0.10792,-0.34985,0.07317,0.75011,0.68889,-0.60009,2.10031,4.65444,0.41073,3.84942,5.45945,-0.13446,0.18922,-0.50531,0.2364
"wb","140","Strategy 1: effects=3, full covariates","Full (6)",0.74101,0.08496,0.5745,0.90753,1.22842,0.3511,0.54028,1.91657,1.98038,0.65359,0.69936,3.2614,-0.52233,0.0771,-0.67346,-0.37121
"wb","150","Strategy 1: effects=3, full covariates","Full (6)",0.21656,0.05713,0.10459,0.32852,0.481,0.13683,0.21282,0.74918,0.92713,0.20229,0.53065,1.32361,-0.17942,0.09316,-0.36201,0.00316
"wb","160","Strategy 1: effects=3, full covariates","Full (6)",0.70136,0.10631,0.49299,0.90973,2.35057,0.6904,0.9974,3.70373,2.84197,1.42243,0.05406,5.62988,-0.63404,0.10515,-0.84013,-0.42794
"wb","210","Strategy 1: effects=3, full covariates","Full (6)",0.6373,0.07818,0.48406,0.79053,0.9924,0.17324,0.65285,1.33195,1.68074,0.29613,1.10033,2.26114,-0.61336,0.08069,-0.7715,-0.45521
"wb","220","Strategy 1: effects=3, full covariates","Full (6)",0.16778,0.09293,-0.01435,0.34991,0.31032,0.16722,-0.01743,0.63807,0.39242,0.22646,-0.05142,0.83627,0.33419,0.16368,0.01338,0.65499
"wb","230","Strategy 1: effects=3, full covariates","Full (6)",0.00468,0.16421,-0.31717,0.32653,-0.93359,0.34056,-1.60107,-0.26611,0.53022,0.67241,-0.78768,1.84813,-0.48368,0.10939,-0.69808,-0.26928
"wb","240","Strategy 2: effects=3, no covariates","None",0.17667,0.10535,-0.0298,0.38315,0.6174,0.35326,-0.07499,1.30978,-0.68936,0.74787,-2.15516,0.77644,-0.33097,0.11549,-0.55733,-0.10461
"wb","310","Strategy 1: effects=3, full covariates","Full (6)",0.43988,0.10927,0.22571,0.65405,0.72706,0.67185,-0.58974,2.04386,-1.4972,1.01458,-3.48574,0.49134,-0.2051,0.09143,-0.3843,-0.0259
"wb","320","Strategy 2: effects=3, no covariates","None",1.02254,0.20766,0.61552,1.42955,0.44515,0.16836,0.11517,0.77514,0.6425,0.42871,-0.19777,1.48276,0.08699,0.07516,-0.06033,0.2343
"wb","410","Strategy 1: effects=3, full covariates","Full (6)",0.30579,0.13368,0.04377,0.5678,1.54668,0.27519,1.00733,2.08604,3.53604,0.95594,1.66242,5.40965,-0.54085,0.15056,-0.83594,-0.24575
