funder,ad_sector_names,method,estimate,ci_lower,ci_upper,sig
China,"Agriculture, Forestry and Fishing",TWFE,0.30576333059662675,-0.40225859656622687,1.0137852577594804,FALSE
China,"Agriculture, Forestry and Fishing",dCdH,-0.159,-0.54708,0.22908000000000003,FALSE
China,Communications,TWFE,1.6599350254536287,0.7009274217946126,2.6189426291126447,TRUE
China,Communications,dCdH,-0.0201,-0.47482,0.43462,FALSE
China,Education,TWFE,0.28286493324563233,-0.2172713021007973,0.7830011685920619,FALSE
China,Education,dCdH,-0.969,-1.2434,-0.6945999999999999,TRUE
China,Emergency Response,TWFE,-3.0001911164769295,-4.484803883301664,-1.5155783496521948,TRUE
China,Emergency Response,dCdH,-1.517,-2.0658,-0.9681999999999998,TRUE
China,Energy Generation and Supply,TWFE,-2.9343131250575745,-3.8577931820091287,-2.01083306810602,TRUE
China,Energy Generation and Supply,dCdH,-0.0202,-0.42788,0.38748,FALSE
China,Government and Civil Society,TWFE,-0.2858086747129607,-0.6819859070296891,0.11036855760376774,FALSE
China,Government and Civil Society,dCdH,-0.965,-1.2296,-0.7003999999999999,TRUE
China,Health,TWFE,1.1464346583978142,0.6928480441640599,1.6000212726315686,TRUE
China,Health,dCdH,-1.076,-1.3210000000000002,-0.8310000000000001,TRUE
China,Other Multisector,TWFE,0.8833963998504509,-0.6513947723945605,2.418187572095462,FALSE
China,Other Multisector,dCdH,-0.752,-1.23024,-0.27376,TRUE
China,Other Social Infrastructure and Services,TWFE,-2.3354225755944897,-3.24512279144713,-1.4257223597418496,TRUE
China,Other Social Infrastructure and Services,dCdH,-2.342,-2.73596,-1.94804,TRUE
China,Transport and Storage,TWFE,-0.30604037501884235,-0.7513745291624925,0.13929377912480784,FALSE
China,Transport and Storage,dCdH,-0.208,-0.52944,0.11344000000000001,FALSE
China,Water Supply and Sanitation,TWFE,-1.8002803895208972,-2.382995480964383,-1.2175652980774112,TRUE
China,Water Supply and Sanitation,dCdH,-0.737,-1.02708,-0.44692,TRUE
World Bank,"Agriculture, Forestry and Fishing",TWFE,-0.417020592463593,-0.6317499074297172,-0.20229127749746892,TRUE
World Bank,"Agriculture, Forestry and Fishing",dCdH,-0.22,-0.41404,-0.025959999999999983,TRUE
World Bank,Banking and Financial Services,TWFE,-0.7699853878034911,-1.216684995095797,-0.32328578051118534,TRUE
World Bank,Banking and Financial Services,dCdH,-0.331,-0.5564,-0.1056,TRUE
World Bank,Communications,TWFE,2.436698665188562,1.590009917109413,3.2833874132677097,TRUE
World Bank,Communications,dCdH,0.332,0.008599999999999997,0.6554,TRUE
World Bank,Education,TWFE,0.09484668816129208,-0.2283419108052668,0.418035287127851,FALSE
World Bank,Education,dCdH,-0.684,-0.9054800000000001,-0.46252000000000004,TRUE
World Bank,Energy Generation and Supply,TWFE,-0.1641086974101821,-0.4801975559071525,0.15198016108678827,FALSE
World Bank,Energy Generation and Supply,dCdH,-0.595,-0.8106,-0.37939999999999996,TRUE
World Bank,General Environmental Protection,TWFE,-0.5618450715353493,-1.0653388337262943,-0.05835130934440447,TRUE
World Bank,General Environmental Protection,dCdH,-0.486,-0.78,-0.192,TRUE
World Bank,Government and Civil Society,TWFE,-0.30113265678252527,-0.5468610419549476,-0.055404271610103,TRUE
World Bank,Government and Civil Society,dCdH,0.00945,-0.174398,0.19329799999999997,FALSE
World Bank,Health,TWFE,0.24327251136424977,-0.00793491189800715,0.4944799346265067,FALSE
World Bank,Health,dCdH,-0.345,-0.73308,0.04308000000000006,FALSE
World Bank,"Industry, Mining, Construction",TWFE,-0.0698090357543985,-0.3061812414115724,0.16656316990277542,FALSE
World Bank,"Industry, Mining, Construction",dCdH,0.087,-0.060392,0.234392,FALSE
World Bank,Other Social Infrastructure and Services,TWFE,-0.16025579811900706,-0.3860884409108353,0.06557684467282113,FALSE
World Bank,Other Social Infrastructure and Services,dCdH,-0.703,-0.9186,-0.48739999999999994,TRUE
World Bank,Transport and Storage,TWFE,-0.8784181999242651,-1.11054112520475,-0.6462952746437801,TRUE
World Bank,Transport and Storage,dCdH,-0.485,-0.645132,-0.324868,TRUE
World Bank,Water Supply and Sanitation,TWFE,-0.4749720081763084,-0.6841879900094856,-0.2657560263431312,TRUE
World Bank,Water Supply and Sanitation,dCdH,-0.506,-0.658096,-0.353904,TRUE
